Date,Open,High,Low,Close,Volume,20 Day Moving Average,10 Day Moving Average,5 Day Moving Average,MACD Line,MACD Signal Line,MACD Histogram,Relative Strength (RS),Relative Strength Index (RSI),Upper Bollinger Band,Lower Bollinger Band,Stochastic Oscillator,Moving Average Stochastic Oscillator,On-Balance Volume,Accumulation/Distribution Line,Directional Index,Average Directional Index ,Tenkan-sen (Conversion Line),Kijun-sen (Base Line),Volume Weighted Average Price,Stop and Reverse (SAR),Acceleration Factor,Extreme Point,Rate of Change,20-day Chaikin Money Flow,Williams R Percent,Aroon Up Indicator,Aroon Down Indicator,Relative Vigor Index,Signal Line (Relative Vigor Index),Money Flow Index,Pivot Point,First Resistance,First Support,Second Resistance,Second Support
11/11/2024,398.15,400.9,391.8,392.55,12243693,410.8775,403.965,401.2,-6.9760701,-5.847158814,-1.128911286,0.4331877729,30.22547227,431.4917637,390.2632363,2.737752161,17.28764013,-30235290,-38686686.81,43.41673702,34.49547151,377.85,370.45,421.4100928,420.8826684,0.02,391.8,-7.635294118,0.01099294976,-97.26224784,-36,20,-0.2501294666,-0.1449379638,28.56004916,395.0833333,398.3666667,389.2666667,404.1833333,385.9833333
11/12/2024,393.15,394.8,379.05,380.3,10549517,408.6675,401.605,396.64,-8.404359061,-6.358598864,-2.045760198,0.4116182573,29.15931805,432.3772865,384.9577135,3.453038674,7.492040193,-40784807,-47561677.3,53.86465462,35.87898459,374.8,364.925,420.6567528,420.301015,0.02,379.05,-8.52675887,-0.04469374756,-96.54696133,-32,56,-0.4054054054,-0.1760136877,29.32353219,384.7166667,390.3833333,374.6333333,400.4666667,368.9666667
11/13/2024,384,387.6,379.35,381.35,20602407,406.405,398.525,391.13,-9.343852019,-6.955649495,-2.388202524,0.4895833333,32.86713287,431.5049035,381.3050965,6.35359116,4.181460665,-20182400,-58175038.49,53.86465462,37.1636753,371.2,359.3,419.1961206,419.4759947,0.02,387.6,-6.600538819,-0.111031868,-93.64640884,-40,48,-0.468627451,-0.2169473945,29.87319634,382.7666667,386.1833333,377.9333333,391.0166667,374.5166667
11/14/2024,380.05,385.2,371.35,372.5,15086601,403.8175,394.925,384.87,-10.67942226,-7.700404048,-2.979018214,0.3609083536,26.51966627,431.688354,375.946646,2.646720368,4.151116734,-35269001,-70756283.36,59.32941738,38.74694259,370,357.85,418.019841,418.8384748,0.02,371.35,-9.565428502,-0.1499142879,-97.35327963,-48,48,-0.465138044,-0.2533176139,23.72128233,376.35,381.35,367.5,390.2,362.5
11/18/2024,380,380,362.65,366.7,16383636,401.265,390.78,378.68,-12.06678445,-8.573680128,-3.493104321,0.4086317723,29.00912647,432.8645187,369.6654813,7.766059444,5.588790324,-51652637,-79491074.89,64.28407239,40.57102329,367.4,355.25,416.6233599,417.8887053,0.02,362.65,-8.072198546,-0.146701176,-92.23394056,-40,44,-0.5309696711,-0.3008537893,24.32752943,369.7833333,376.9166667,359.5666667,387.1333333,352.4333333
11/19/2024,368,378.5,365.05,366.7,17055094,398.3525,387.355,373.51,-13.01623591,-9.462191285,-3.554044628,0.3168044077,24.05857741,431.4619592,365.2430408,7.766059444,6.059613085,-51652637,-92361647.69,64.28407239,42.26481251,366.65,354.5,415.2618068,416.7839312,0.02,362.65,-9.210200545,-0.2172542851,-92.23394056,-48,36,-0.4599636033,-0.3242373024,26.01498503,370.0833333,375.1166667,361.6666667,383.5333333,356.6333333
11/21/2024,363.7,364.35,354.8,356.15,21276150,394.91,382.66,368.68,-14.45337041,-10.46042711,-3.992943301,0.1384615385,12.16216216,430.5723582,359.2476418,2.25,5.927372963,-72928787,-107622551.1,69.38089479,44.20167553,366,353.85,413.2608156,415.7012526,0.02,354.8,-13.58728618,-0.2694583319,-97.75,-56,36,-0.544,-0.3591706358,14.50876787,358.4333333,362.0666667,352.5166667,367.9833333,348.8833333
11/22/2024,357.05,367.1,355.7,365.45,15949254,392.395,378.315,365.5,-14.67273937,-11.30288956,-3.369849809,0.2982885086,22.97551789,428.9525235,355.8374765,17.89915966,9.305073036,-56979533,-96290186.4,62.6735887,45.5210979,366.45,352.3,411.9618541,414.4832276,0.02,367.1,-10.53855569,-0.1953579595,-82.10084034,-64,28,-0.4731182796,-0.3947396865,22.44412811,362.75,369.8,358.4,374.15,351.35
11/25/2024,374,377.2,367.5,368.4,18388844,390.4,374.775,364.68,-14.4420713,-11.93072591,-2.51134539,0.3483606557,25.83586626,427.6511815,353.1488185,22.85714286,14.33543417,-38590689,-111266667.6,40.64523287,45.17282183,367.1,351.7,410.7832653,413.535563,0.02,377.2,-9.73906652,-0.2529826119,-77.14285714,-60,20,-0.4570696284,-0.426874182,31.17751649,371.0333333,374.5666667,364.8666667,380.7333333,361.3333333
11/26/2024,370,370.4,360.25,361.65,11222231,387.8875,371.175,363.67,-14.63522798,-12.47162632,-2.163601657,0.3509496284,25.97799511,425.8054152,349.9695848,12.21033868,17.65554707,-49812920,-119393110.7,46.26974964,45.25117381,366.075,350.675,409.97704,412.8088517,0.02,360.25,-9.801720913,-0.2872843942,-87.78966132,-68,12,-0.4753268663,-0.4529748416,31.82910463,364.1,367.95,357.8,374.25,353.95
